user_id,order_id,time,description,product_id,product_name,amount,price
BDS49BDS,XBH011609/008,2016-09-05,Xuất bán T09/07- DYKEH ngày ETD 5/9/2016,LTSCORLH374SCA1,Corner Sofa Set_Left_H374,34.0,1813.22
BDS49BDS,XBH011609/006,2016-09-05,Xuất bán T09/06- DYKEH ngày ETD 5/9/2016,LTSCORLH374SCA1,Corner Sofa Set_Left_H374,34.0,1813.22
BDS49BDS,XBH011609/006,2016-09-05,Xuất bán T09/06- DYKEH ngày ETD 5/9/2016,LTSCOR1H374SCA1,Corner Sofa Set_ArmChair_H374,34.0,1813.22
BDS49BDS,XBH011609/008,2016-09-05,Xuất bán T09/07- DYKEH ngày ETD 5/9/2016,LTTCORVH374SCA1,Corner Sofa Set_Table_H374,34.0,1814.24
BDS49BDS,XBH011609/008,2016-09-05,Xuất bán T09/07- DYKEH ngày ETD 5/9/2016,LTSCORRH374SCA1,Corner Sofa Set_Right_H374,34.0,1813.22
BDS49BDS,XBH011609/006,2016-09-05,Xuất bán T09/06- DYKEH ngày ETD 5/9/2016,LTSCORCH374SCA1,Corner Sofa Set_Corner_H374,34.0,1813.22
NTH852NTH,XBH011609/070,2016-09-30,Xuất bán T9/070 - GLGS354A- LSX 28,LTCSCO1R334AK1,Scout Single lounge_R334,52.0,2496.0
AQU57FAL,XBH011609/073,2016-09-30,Xuất bán T9/073 - LT13216COFA,LTTCER1F263SK1,Cerdena Coffee Table_F263,38.0,5241.72
NIN61NIN,XBH011609/069,2016-09-30,Xuất bán T9/069 - 08062016-1- LSX 43,LTCANG1F253SC1,ANGEBOT GARDEN GHẾ ĐƠN F253,100.0,2800.0
LIK45JYS,XBH011609/065,2016-09-30,Xuất bán T9/065 - LTINV3040 - LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.0,10512.0
LIK46JYS,XBH011609/067,2016-09-30,Xuất bán T9/067 - LTINV3135 - LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.0,10512.0
AQU57FAL,XBH011609/073,2016-09-30,Xuất bán T9/073 - LT13216COFA,LTCCER1F263SCK2,Cerdena Armchair_F263,76.0,1747.24
AQU57FAL,XBH011609/073,2016-09-30,Xuất bán T9/073 - LT13216COFA,LTCCER3F263SK1,Cerdena 3 Seater_F263,38.0,1747.24
NIN61NIN,XBH011609/069,2016-09-30,Xuất bán T9/069 - 08062016-1- LSX 43,LTCJAPLF253SC1,Japan Sofa Left_F253,44.0,1870.0
LIK48JYS,XBH011609/072,2016-09-30,Xuất bán T9/072 - LTINV1629 - LSX 28,LTCBOR1F314SPA2,New Bork Chair_F314,720.0,10512.0
LIK48JYS,XBH011609/071,2016-09-30,Xuất bán T9/071 - LTINV6949 - LSX 28,LTCBIR1F314SP1,New Birkemose Chair_F314,1976.0,20056.4
LIK48JYS,XBH011609/066,2016-09-30,Xuất bán T9/066 - LTINV8956 - LSX 35,LTCBIR1F314SP1,New Birkemose Chair_F314,1976.0,20056.4
LIK48JYS,XBH011609/063,2016-09-30,Xuất bán T9/063 - LTINV1627 - LSX 35,LTCBOR1F314SPA2,New Bork Chair_F314,720.0,10512.0
NIN61NIN,XBH011609/069,2016-09-30,Xuất bán T9/069 - 08062016-1- LSX 43,LTCANG2F253SC1,ANGEBOT GARDEN GHẾ ĐÔI F253,50.0,1700.0
NIN61NIN,XBH011609/069,2016-09-30,Xuất bán T9/069 - 08062016-1- LSX 43,LTCJAPR253SC1,Japan Sofa Right_F253,44.0,1870.0
NIN61NIN,XBH011609/069,2016-09-30,Xuất bán T9/069 - 08062016-1- LSX 43,LTCJAPN253SC1,Japan Sofa Middle_F253,44.0,1870.0
NIN61NIN,XBH011609/069,2016-09-30,Xuất bán T9/069 - 08062016-1- LSX 43,LTTJAP1F253SC1,Japan Sofa Table_F253,44.0,1870.0
