Mã KH,Số Phiếu Xuất,,Ngày Ghi Sổ,Diễn Giải,Mã Sản Phẩm,Tên Sản Phẩm,Số Lượng,Thành Tiền,,,,,,,,,,,,
,,,,,LTCSAR1R149SCK1,Sara Chair KD in Black_R149,1.00,24.85,,,,,,,,,,,,
,,,,,LTCSAR1R150SCK1,Sara Chair KD in Blue_R150,1.00,24.85,,,,,,,,,,,,
,,,,,LTCSAR1R157SCA1,Sara Chair in White_R157,1.00,24.85,,,,,,,,,,,,
,,,,,LTCSAR1R175SCK1,Sara Chair KD in Dark Blue_R175,1.00,24.85,,,,,,,,,,,,
,,,,,LTSCER1F264SCA1,Cerdena Armchair_F264,4.00,210.64,,,,,,,,,,,,
,,,,,LTSCER2F264SCA1,Cerdena Sofa 2 Seater_F264,1.00,63.18,,,,,,,,,,,,
,,,,,LTSCER3F264SCA1,Cerdena Sofa 3 Seater_F264,1.00,84.11,,,,,,,,,,,,
,,,,,LTSPAL1F170SCA1,Palermo Armchair_F170,2.00,202.74,,,,,,,,,,,,
,,,,,LTSPAL1F170SK1,Palermo Ottoman_F170,1.00,39.25,,,,,,,,,,,,
,,,,,LTSPAL1F170SK2,Palermo Stool_F170,1.00,48.53,,,,,,,,,,,,
,,,,,LTSPAL3F170SCA1,Palermo Sofa 3 Seater_F170,1.00,199.51,,,,,,,,,,,,
,,,,,LTTCERCF264SCA1,Cerdena Coffee Table_F264,2.00,84.22,,,,,,,,,,,,
,,,,,LTTCERCF264SCK2,Cerdena Dining Table_F264,20.00,"1,294.40",,,,,,,,,,,,
,,,,,LTTPAL1F170SK1,Palermo Coffee Table K/d_F170 (Sofa),1.00,110.86,,,,,,,,,,,,
,,,,,LTTPAL1F170SK2,Palermo Side Table_F170,1.00,36.20,,,,,,,,,,,,
,,,,,LTTPALCF170SCK1,Palermo Dining Table_F170,4.00,509.80,,,,,,,,,,,,
,,,,,LTTPALVF170SCK1,Palermo Coffee Table K/D_F170,1.00,48.53,,,,,,,,,,,,
,,,,,LTTSAR1R144SK1,Sara Table KD in Green_R144,1.00,15.20,,,,,,,,,,,,
,,,,,LTTSARTR146SCK1,Sara Table KD in Yellow_R146,1.00,15.20,,,,,,,,,,,,
,,,,,LTTSARTR147SCK1,Sara Table KD in Red_R147,1.00,15.20,,,,,,,,,,,,
,,,,,LTTSARTR149SCK1,Sara Table KD in Black_R149,1.00,15.20,,,,,,,,,,,,
,,,,,LTTSARTR150SCK1,Sara Table KD in Blue_R150,1.00,15.20,,,,,,,,,,,,
,,,,,LTTSARTR157SCA1,Sara Table in White_R157,1.00,15.20,,,,,,,,,,,,
,,,,,LTTSARTR175SCK1,Sara Table KD in Dark Blue_R175,1.00,15.20,,,,,,,,,,,,
,,,,Xuất bán T06/26 - LT9516CLFA  ngày ETD 26/6/2016 Total,,,213.00,"7,460.89",,,,,,,,,,,,
,XBH011607/004,,7/4/16 0:00,Xuất bán T07/04- LT9616CLFA-6 ngày ETD 7/7/2016,LTSCER1F264SCA1,Cerdena Armchair_F264,78.00,"4,107.48",,,,,,,,,,,,
,,,,,LTSCER3F264SCA1,Cerdena Sofa 3 Seater_F264,39.00,"3,280.29",,,,,,,,,,,,
,,,,,LTTCERCF264SCA1,Cerdena Coffee Table_F264,39.00,"1,642.29",,,,,,,,,,,,
,,,,Xuất bán T07/04- LT9616CLFA-6 ngày ETD 7/7/2016 Total,,,156.00,"9,030.06",,,,,,,,,,,,
,XBH011607/005,,7/4/16 0:00,Xuất bán T07/05- LT9616CLFA-7 ngày ETD 7/7/2016,LTSCER1F264SCA1,Cerdena Armchair_F264,78.00,"4,107.48",,,,,,,,,,,,
,,,,,LTSCER3F264SCA1,Cerdena Sofa 3 Seater_F264,39.00,"3,280.29",,,,,,,,,,,,
,,,,,LTTCERCF264SCA1,Cerdena Coffee Table_F264,39.00,"1,642.29",,,,,,,,,,,,
,,,,Xuất bán T07/05- LT9616CLFA-7 ngày ETD 7/7/2016 Total,,,156.00,"9,030.06",,,,,,,,,,,,
,XBH011607/006,,7/4/16 0:00,Xuất bán T07/06- LT9616CLFA-8 ngày ETD 7/7/2016,LTSCER1F264SCA1,Cerdena Armchair_F264,78.00,"4,107.48",,,,,,,,,,,,
,,,,,LTSCER3F264SCA1,Cerdena Sofa 3 Seater_F264,39.00,"3,280.29",,,,,,,,,,,,
,,,,,LTTCERCF264SCA1,Cerdena Coffee Table_F264,39.00,"1,642.29",,,,,,,,,,,,
,,,,Xuất bán T07/06- LT9616CLFA-8 ngày ETD 7/7/2016 Total,,,156.00,"9,030.06",,,,,,,,,,,,
,XBH011607/007,,7/4/16 0:00,Xuất bán T07/07- LT9616CLFA-9 ngày ETD 7/7/2016,LTSCER1F264SCA1,Cerdena Armchair_F264,78.00,"4,107.48",,,,,,,,,,,,
,,,,,LTSCER3F264SCA1,Cerdena Sofa 3 Seater_F264,39.00,"3,280.29",,,,,,,,,,,,
,,,,,LTTCERCF264SCA1,Cerdena Coffee Table_F264,39.00,"1,642.29",,,,,,,,,,,,
,,,,Xuất bán T07/07- LT9616CLFA-9 ngày ETD 7/7/2016 Total,,,156.00,"9,030.06",,,,,,,,,,,,
,XBH011607/008,,7/4/16 0:00,Xuất bán T07/08- LT9616CLFA-10 ngày ETD 7/7/2016,LTSCER1F264SCA1,Cerdena Armchair_F264,78.00,"4,107.48",,,,,,,,,,,,
,,,,,LTSCER3F264SCA1,Cerdena Sofa 3 Seater_F264,39.00,"3,280.29",,,,,,,,,,,,
,,,,,LTTCERCF264SCA1,Cerdena Coffee Table_F264,39.00,"1,642.29",,,,,,,,,,,,
,,,,Xuất bán T07/08- LT9616CLFA-10 ngày ETD 7/7/2016 Total,,,156.00,"9,030.06",,,,,,,,,,,,
,XBH011607/009,,7/7/16 0:00,Xuất bán T07/09- LT9616CLFA-1 ngày ETD 11/7/2016,LTSCER1F264SCA1,Cerdena Armchair_F264,100.00,"5,266.00",,,,,,,,,,,,
,,,,,LTSCER2F264SCA1,Cerdena Sofa 2 Seater_F264,50.00,"3,159.00",,,,,,,,,,,,
,,,,,LTTCERCF264SCA1,Cerdena Coffee Table_F264,50.00,"2,105.50",,,,,,,,,,,,
,,,,Xuất bán T07/09- LT9616CLFA-1 ngày ETD 11/7/2016 Total,,,200.00,"10,530.50",,,,,,,,,,,,
,XBH011607/010,,7/7/16 0:00,Xuất bán T07/10- LT9616CLFA-2 ngày ETD 11/7/2016,LTSCER1F264SCA1,Cerdena Armchair_F264,100.00,"5,266.00",,,,,,,,,,,,
,,,,,LTSCER2F264SCA1,Cerdena Sofa 2 Seater_F264,50.00,"3,159.00",,,,,,,,,,,,
,,,,,LTTCERCF264SCA1,Cerdena Coffee Table_F264,50.00,"2,105.50",,,,,,,,,,,,
,,,,Xuất bán T07/10- LT9616CLFA-2 ngày ETD 11/7/2016 Total,,,200.00,"10,530.50",,,,,,,,,,,,
,XBH011607/011,,7/7/16 0:00,Xuất bán T07/11- LT9616CLFA-3 ngày ETD 11/7/2016,LTSCER1F264SCA1,Cerdena Armchair_F264,100.00,"5,266.00",,,,,,,,,,,,
,,,,,LTSCER2F264SCA1,Cerdena Sofa 2 Seater_F264,49.00,"3,095.82",,,,,,,,,,,,
,,,,,LTSCER3F264SCA1,Cerdena Sofa 3 Seater_F264,1.00,84.11,,,,,,,,,,,,
,,,,,LTTCERCF264SCA1,Cerdena Coffee Table_F264,50.00,"2,105.50",,,,,,,,,,,,
,,,,Xuất bán T07/11- LT9616CLFA-3 ngày ETD 11/7/2016 Total,,,200.00,"10,551.43",,,,,,,,,,,,
,XBH011607/012,,7/7/16 0:00,Xuất bán T07/12- LT9616CLFA-5 ngày ETD 11/7/2016,LTSCER1F264SCA1,Cerdena Armchair_F264,78.00,"4,107.48",,,,,,,,,,,,
,,,,,LTSCER3F264SCA1,Cerdena Sofa 3 Seater_F264,39.00,"3,280.29",,,,,,,,,,,,
,,,,,LTTCERCF264SCA1,Cerdena Coffee Table_F264,39.00,"1,642.29",,,,,,,,,,,,
,,,,Xuất bán T07/12- LT9616CLFA-5 ngày ETD 11/7/2016 Total,,,156.00,"9,030.06",,,,,,,,,,,,
,XBH011607/013,,7/7/16 0:00,Xuất bán T07/13- LT9616CLFA-4 ngày ETD 11/7/2016,LTSCER1F264SCA1,Cerdena Armchair_F264,78.00,"4,107.48",,,,,,,,,,,,
,,,,,LTSCER3F264SCA1,Cerdena Sofa 3 Seater_F264,39.00,"3,280.29",,,,,,,,,,,,
,,,,,LTTCERCF264SCA1,Cerdena Coffee Table_F264,39.00,"1,642.29",,,,,,,,,,,,
,,,,Xuất bán T07/13- LT9616CLFA-4 ngày ETD 11/7/2016 Total,,,156.00,"9,030.06",,,,,,,,,,,,
,XBH011607/021,,7/18/16 0:00,Xuất bán T07/21 (011)- LT9816CLFA-1 ngày ETD 18/07/2016,LTCCER1F264SCA1,Cerdena Dining Chair_F264,228.00,"4,247.64",,,,,,,,,,,,
,,,,,LTSCER1F264SCA1,Cerdena Armchair_F264,50.00,"2,633.00",,,,,,,,,,,,
,,,,,LTSCER3F264SCA1,Cerdena Sofa 3 Seater_F264,25.00,"2,102.75",,,,,,,,,,,,
,,,,,LTTCERCF264SCA1,Cerdena Coffee Table_F264,25.00,"1,052.75",,,,,,,,,,,,
,,,,,LTTCERCF264SCK2,Cerdena Dining Table_F264,38.00,"2,459.36",,,,,,,,,,,,
,,,,Xuất bán T07/21 (011)- LT9816CLFA-1 ngày ETD 18/07/2016 Total,,,366.00,"12,495.50",,,,,,,,,,,,
,XBH011607/022,,7/18/16 0:00,Xuất bán T07/22 (012)- LT9816CLFA-2 ngày ETD 18/07/2016,LTCCER1F264SCA1,Cerdena Dining Chair_F264,492.00,"9,165.96",,,,,,,,,,,,
,,,,,LTCLET1H171SK1,Leticia Sofa 3 Seater_H171,3.00,481.26,,,,,,,,,,,,
,,,,,LTTCERCF264SCK2,Cerdena Dining Table_F264,82.00,"5,307.04",,,,,,,,,,,,
,,,,Xuất bán T07/22 (012)- LT9816CLFA-2 ngày ETD 18/07/2016 Total,,,577.00,"14,954.26",,,,,,,,,,,,
,XBH011607/023,,7/18/16 0:00,Xuất bán T07/23 (013)- LT9816CLFA-3 ngày ETD 18/07/2016,LTBLET1H171SK1,Leticia Lounge_H171,8.00,"1,310.00",,,,,,,,,,,,
,,,,,LTCLET1H171SK1,Leticia Sofa 3 Seater_H171,16.00,"2,566.72",,,,,,,,,,,,
,,,,,LTCLET1H171SK2,Leticia Armchair_H171,38.00,"3,203.78",,,,,,,,,,,,
,,,,Xuất bán T07/23 (013)- LT9816CLFA-3 ngày ETD 18/07/2016 Total,,,62.00,"7,080.50",,,,,,,,,,,,
,XBH011607/024,,7/18/16 0:00,Xuất bán T07/24 (014)- LT9816CLFA-4 ngày ETD 18/07/2016,LTBLET1H171SK1,Leticia Lounge_H171,11.00,"1,801.25",,,,,,,,,,,,
,,,,,LTSPAL1F170SCA1,Palermo Armchair_F170,26.00,"2,635.62",,,,,,,,,,,,
,,,,,LTSPAL1F170SK1,Palermo Ottoman_F170,13.00,510.25,,,,,,,,,,,,
,,,,,LTSPAL3F170SCA1,Palermo Sofa 3 Seater_F170,13.00,"2,593.63",,,,,,,,,,,,
,,,,,LTTPAL1F170SK1,Palermo Coffee Table K/d_F170 (Sofa),13.00,"1,441.18",,,,,,,,,,,,
,,,,,LTTPAL1F170SK2,Palermo Side Table_F170,13.00,470.60,,,,,,,,,,,,
,,,,Xuất bán T07/24 (014)- LT9816CLFA-4 ngày ETD 18/07/2016 Total,,,89.00,"9,452.53",,,,,,,,,,,,
,XBH011607/027,,7/25/16 0:00,Xuất bán T07/027- LT9916CLFA-1ngày ETD ngày 25/7/2016,LTBPAL1F170SK1,Palermo Chaise Loungue_F170,5.00,527.00,,,,,,,,,,,,
,,,,,LTCPAL1F170SK2,Palermo Rest Chair_F170,5.00,304.00,,,,,,,,,,,,
,,,,,LTCPALCF170SK1,Palermo Corner Chair_F170,5.00,370.10,,,,,,,,,,,,
,,,,,LTSPAL1F170SCA1,Palermo Armchair_F170,32.00,"3,243.84",,,,,,,,,,,,
,,,,,LTSPAL1F170SK1,Palermo Ottoman_F170,16.00,628.00,,,,,,,,,,,,
,,,,,LTSPAL1F170SK2,Palermo Stool_F170,5.00,242.65,,,,,,,,,,,,
,,,,,LTSPAL3F170SCA1,Palermo Sofa 3 Seater_F170,16.00,"3,192.16",,,,,,,,,,,,
,,,,,LTTPAL1F170SK1,Palermo Coffee Table K/d_F170 (Sofa),16.00,"1,773.76",,,,,,,,,,,,
,,,,,LTTPAL1F170SK2,Palermo Side Table_F170,6.00,217.20,,,,,,,,,,,,
,,,,,LTTPALVF170SCK1,Palermo Coffee Table K/D_F170,5.00,242.65,,,,,,,,,,,,
,,,,Xuất bán T07/027- LT9916CLFA-1ngày ETD ngày 25/7/2016 Total,,,111.00,"10,741.36",,,,,,,,,,,,
,XBH011607/028,,7/25/16 0:00,Xuất bán T07/028- LT9916CLFA-2 ngày ETD ngày 25/7/2016,LTBPAL1F170SK1,Palermo Chaise Loungue_F170,14.00,"1,475.60",,,,,,,,,,,,
,,,,,LTCPAL1F170SCA1,Palermo Dining Chair_F170,64.00,"2,560.00",,,,,,,,,,,,
,,,,,LTCPAL1F170SK2,Palermo Rest Chair_F170,14.00,851.20,,,,,,,,,,,,
,,,,,LTCPALCF170SK1,Palermo Corner Chair_F170,14.00,"1,036.28",,,,,,,,,,,,
,,,,,LTSPAL1F170SK2,Palermo Stool_F170,14.00,679.42,,,,,,,,,,,,
,,,,,LTTPALCF170SCK1,Palermo Dining Table_F170,8.00,"1,019.60",,,,,,,,,,,,
,,,,,LTTPALVF170SCK1,Palermo Coffee Table K/D_F170,14.00,679.42,,,,,,,,,,,,
,,,,Xuất bán T07/028- LT9916CLFA-2 ngày ETD ngày 25/7/2016 Total,,,142.00,"8,301.52",,,,,,,,,,,,
,XBH011607/029,,7/26/16 0:00,Xuất bán T07/029- LT9916CLFA-4 ngày ETD ngày 25/7/2016,LTCCER1F264SCA1,Cerdena Dining Chair_F264,60.00,"1,117.80",,,,,,,,,,,,
,,,,,LTCSAR1R144SK1,Sara Chair KD in Green_R144,19.00,472.15,,,,,,,,,,,,
,,,,,LTCSAR1R146SCK1,Sara Chair KD in Yellow_R146,19.00,472.15,,,,,,,,,,,,
,,,,,LTCSAR1R147SCK1,Sara Chair KD in Red_R147,19.00,472.15,,,,,,,,,,,,
,,,,,LTCSAR1R149SCK1,Sara Chair KD in Black_R149,25.00,621.25,,,,,,,,,,,,
,,,,,LTCSAR1R150SCK1,Sara Chair KD in Blue_R150,43.00,"1,068.55",,,,,,,,,,,,
,,,,,LTCSAR1R157SCA1,Sara Chair in White_R157,35.00,869.75,,,,,,,,,,,,
,,,,,LTCSAR1R175SCK1,Sara Chair KD in Dark Blue_R175,19.00,472.15,,,,,,,,,,,,
,,,,,LTTCERCF264SCK2,Cerdena Dining Table_F264,10.00,647.20,,,,,,,,,,,,
,,,,,LTTSAR1R144SK1,Sara Table KD in Green_R144,11.00,167.20,,,,,,,,,,,,
,,,,,LTTSARTR146SCK1,Sara Table KD in Yellow_R146,11.00,167.20,,,,,,,,,,,,
,,,,,LTTSARTR147SCK1,Sara Table KD in Red_R147,11.00,167.20,,,,,,,,,,,,
,,,,,LTTSARTR149SCK1,Sara Table KD in Black_R149,11.00,167.20,,,,,,,,,,,,
,,,,,LTTSARTR150SCK1,Sara Table KD in Blue_R150,11.00,167.20,,,,,,,,,,,,
,,,,,LTTSARTR157SCA1,Sara Table in White_R157,19.00,288.80,,,,,,,,,,,,
,,,,,LTTSARTR175SCK1,Sara Table KD in Dark Blue_R175,11.00,167.20,,,,,,,,,,,,
,,,,Xuất bán T07/029- LT9916CLFA-4 ngày ETD ngày 25/7/2016 Total,,,334.00,"7,505.15",,,,,,,,,,,,
,XBH011607/031,,7/30/16 0:00,Xuất bán T07/31 - LT9916CLFA-3 ngày ETD 1/08/2016,LTCPAL1F170SCA1,Palermo Dining Chair_F170,144.00,"5,760.00",,,,,,,,,,,,
,,,,,LTTPALCF170SCK1,Palermo Dining Table_F170,18.00,"2,294.10",,,,,,,,,,,,
,,,,Xuất bán T07/31 - LT9916CLFA-3 ngày ETD 1/08/2016 Total,,,162.00,"8,054.10",,,,,,,,,,,,
,XBH011701/046,,1/15/17 0:00,Xuất bán T01/046 - LT0417CLFA - LSX 66,LTSCER1F264SCA1,Cerdena Armchair_F264,64.00,"3,370.24",,,,,,,,,,,,
,,,,,LTSCER3F264SCA1,Cerdena Sofa 3 Seater_F264,32.00,"2,691.52",,,,,,,,,,,,
,,,,,LTTCERCF264SCA1,Cerdena Coffee Table_F264,32.00,"1,347.52",,,,,,,,,,,,
,,,,Xuất bán T01/046 - LT0417CLFA - LSX 66 Total,,,128.00,"7,409.28",,,,,,,,,,,,
,XBH011703/031,,3/6/17 0:00,Xuất bán T03/31 - LT1817CLFA LSX 79,LTCCER1F264SCA1,Cerdena Dining Chair_F264,60.00,"1,117.80",,,,,,,,,,,,
,,,,,LTSCER3F264SCA1,Cerdena Sofa 3 Seater_F264,15.00,"1,261.65",,,,,,,,,,,,
,,,,,LTSPAL1F170SCA1,Palermo Armchair_F170,20.00,"2,027.40",,,,,,,,,,,,
,,,,,LTSPAL3F170SCA1,Palermo Sofa 3 Seater_F170,10.00,"1,995.10",,,,,,,,,,,,
,,,,,LTTCERCF264SCA1,Cerdena Coffee Table_F264,15.00,631.65,,,,,,,,,,,,
,,,,,LTTPAL1F170SK1,Palermo Coffee Table K/d_F170 (Sofa),10.00,"1,108.60",,,,,,,,,,,,
,,,,Xuất bán T03/31 - LT1817CLFA LSX 79 Total,,,130.00,"8,142.20",,,,,,,,,,,,
,XHM011606/004,,6/22/16 0:00,Xuất mẫu gửi khách hàng theo phiếu yêu cầu xuất xưởng duyệt ngày 22/6/2016,LTCSS1019,Mẫu Swatch Vải,30.00,0.00,,,,,,,,,,,,
,,,,,LTSAM00097WI,Mẫu Swatch Dây,100.00,0.00,,,,,,,,,,,,
,,,,Xuất mẫu gửi khách hàng theo phiếu yêu cầu xuất xưởng duyệt ngày 22/6/2016 Total,,,130.00,0.00,,,,,,,,,,,,
AQU56FAL Total,,,,,,,"5,148.00","259,430.96",,,,,,,,,,,,
AQU57FAL,_XBH011703/161,,3/31/17 0:00,Xuất bán T03/169 - LT4417CLFA - LSX 83,LTSCER1F264SCA1,Cerdena Armchair_F264,78.00,"3,549.00",,,,,,,,,,,,
,,,,,LTSCER2F264SCA1,Cerdena Sofa 2 Seater_F264,39.00,"2,730.00",,,,,,,,,,,,
,,,,,LTTCERCF264SCA1,Cerdena Coffee Table_F264,39.00,"1,950.00",,,,,,,,,,,,
,,,,Xuất bán T03/169 - LT4417CLFA - LSX 83 Total,,,156.00,"8,229.00",,,,,,,,,,,,
,_XBH011703/162,,3/31/17 0:00,Xuất bán T03/170 - LT4417CLFA - LSX 83,LTSCER1F264SCA1,Cerdena Armchair_F264,76.00,"3,843.00",,,,,,,,,,,,
,,,,,LTSCER2F264SCA1,Cerdena Sofa 2 Seater_F264,3.00,210.00,,,,,,,,,,,,
,,,,,LTSCER3F264SCA1,Cerdena Sofa 3 Seater_F264,35.00,"2,450.00",,,,,,,,,,,,
,,,,,LTTCERCF264SCA1,Cerdena Coffee Table_F264,38.00,"2,250.00",,,,,,,,,,,,
,,,,Xuất bán T03/170 - LT4417CLFA - LSX 83 Total,,,152.00,"8,753.00",,,,,,,,,,,,
,_XBH011703/163,,3/31/17 0:00,Xuất bán T03/171 - LT4417CLFA - LSX 83,LTSCER1F264SCA1,Cerdena Armchair_F264,76.00,"3,843.00",,,,,,,,,,,,
,,,,,LTSCER2F264SCA1,Cerdena Sofa 2 Seater_F264,3.00,210.00,,,,,,,,,,,,
,,,,,LTSCER3F264SCA1,Cerdena Sofa 3 Seater_F264,35.00,"2,450.00",,,,,,,,,,,,
,,,,,LTTCERCF264SCA1,Cerdena Coffee Table_F264,38.00,"2,250.00",,,,,,,,,,,,
,,,,Xuất bán T03/171 - LT4417CLFA - LSX 83 Total,,,152.00,"8,753.00",,,,,,,,,,,,
,XBH011605/027,,5/14/16 0:00,Xuất bán T05/27-LT6916COFA-1 ngày ETD 18/5/2016,LTSTAH1F009SK1,Tahiti Sofa set_F009,28.00,"9,142.84",,,,,,,,,,,,
,XBH011605/028,,5/14/16 0:00,Xuất bán T05/28-LT6916COFA-2 ngày ETD 18/5/2016,LTSTAH1F009SK1,Tahiti Sofa set_F009,28.00,"9,142.84",,,,,,,,,,,,
,XBH011605/029,,5/14/16 0:00,Xuất bán T05/29-LT6916COFA-3 ngày ETD 18/5/2016,LTSTAH1F009SK2,Tahiti Dining Set_F009,30.00,"11,203.50",,,,,,,,,,,,
,XBH011605/031,,5/16/16 0:00,Xuất bán T05/31-LT8016COFA-1  ngày ETD 18/5/2016,LTSCER1F263SK1,Cerdena Living set (sofa)_F263,32.00,"7,356.80",,,,,,,,,,,,
,XBH011605/032,,5/16/16 0:00,Xuất bán T05/32-LT8016COFA-2  ngày ETD 18/5/2016,LTCEUR1F275AK1,Europe Rocking Chair_F275,165.00,"7,837.50",,,,,,,,,,,,
,,,,,LTTEUR1F275AK1,Europe Rocking Table_F275,82.00,"2,205.80",,,,,,,,,,,,
,,,,Xuất bán T05/32-LT8016COFA-2  ngày ETD 18/5/2016 Total,,,247.00,"10,043.30",,,,,,,,,,,,
,XBH011606/018,,6/14/16 0:00,Xuất bán T06/18-LT9816COFA  ngày ETD 16/6/2016,LTCCER1F263SCK2,Cerdena Armchair_F263,76.00,"3,974.04",,,,,,,,,,,,
,,,,,LTCCER3F263SK1,Cerdena 3 Seater_F263,38.00,"3,173.38",,,,,,,,,,,,
,,,,,LTTCER1F263SK1,Cerdena Coffee Table_F263,38.00,"1,588.78",,,,,,,,,,,,
,,,,Xuất bán T06/18-LT9816COFA  ngày ETD 16/6/2016 Total,,,152.00,"8,736.20",,,,,,,,,,,,
,XBH011607/003,,7/2/16 0:00,Xuất bán T07/03- LT12116COFA ngày ETD 6/7/2016,LTSSAN1H085S1WI,SanDiego 1 Seater_H085_DAN,48.00,"4,176.00",,,,,,,,,,,,
,,,,,LTSSAN3H085SCA1,SanDiego 3 Seater_H085,24.00,"4,080.00",,,,,,,,,,,,
,,,,,LTTSAN1H085SC1,SanDiego Small Coffee Table_H085,24.00,"1,147.92",,,,,,,,,,,,
,,,,Xuất bán T07/03- LT12116COFA ngày ETD 6/7/2016 Total,,,96.00,"9,403.92",,,,,,,,,,,,
,XBH011607/016,,7/14/16 0:00,Xuất bán T07/16- LT996COFAngày ETD 114/7/2016,LTCTAH1F009SKA1,Tahiti Arm Chair_F009,56.00,"4,704.00",,,,,,,,,,,,
,,,,,LTSTAH3F009SKA1,Tahiti Sofa 3 Seater_F009,28.00,"2,369.64",,,,,,,,,,,,
,,,,,LTTTAHCF009SKA1,Tahiti Coffe Table_F009,28.00,"2,352.00",,,,,,,,,,,,
,,,,Xuất bán T07/16- LT996COFAngày ETD 114/7/2016 Total,,,112.00,"9,425.64",,,,,,,,,,,,
,XBH011607/017,,7/14/16 0:00,Xuất bán T07/17- LT996COFAngày ETD 114/7/2016,LTCTAH1F009SKA1,Tahiti Arm Chair_F009,56.00,"4,704.00",,,,,,,,,,,,
,,,,,LTSTAH3F009SKA1,Tahiti Sofa 3 Seater_F009,28.00,"2,369.64",,,,,,,,,,,,
,,,,,LTTTAHCF009SKA1,Tahiti Coffe Table_F009,28.00,"2,352.00",,,,,,,,,,,,
,,,,Xuất bán T07/17- LT996COFAngày ETD 114/7/2016 Total,,,112.00,"9,425.64",,,,,,,,,,,,
,XBH011607/018,,7/14/16 0:00,Xuất bán T07/18- LT996COFAngày ETD 114/7/2016,LTCCER1F263SCK2,Cerdena Armchair_F263,76.00,"4,332.00",,,,,,,,,,,,
,,,,,LTCCER3F263SK1,Cerdena 3 Seater_F263,38.00,"2,238.20",,,,,,,,,,,,
,,,,,LTTCER1F263SK1,Cerdena Coffee Table_F263,38.00,"2,166.00",,,,,,,,,,,,
,,,,Xuất bán T07/18- LT996COFAngày ETD 114/7/2016 Total,,,152.00,"8,736.20",,,,,,,,,,,,
,XBH011607/032,,7/30/16 0:00,Xuất bán T07/32 - LT10716COFA ngày ETD 1/08/2016,LTCCER1F263SCK2,Cerdena Armchair_F263,76.00,"3,040.00",,,,,,,,,,,,
,,,,,LTCCER3F263SK1,Cerdena 3 Seater_F263,38.00,"3,796.20",,,,,,,,,,,,
,,,,,LTCSAR1MIX3SK2,Sara Chair 3 Mau_MIX,70.00,"1,701.00",,,,,,,,,,,,
,,,,,LTCSAR1MIX7SK3,Sara Chair 7 Mau Chair_MIX,70.00,"1,701.00",,,,,,,,,,,,
,,,,,LTCSAR1R157SCA1,Sara Chair in White_R157,34.00,826.20,,,,,,,,,,,,
,,,,,LTTCER1F263SK1,Cerdena Coffee Table_F263,38.00,"1,900.00",,,,,,,,,,,,
,,,,Xuất bán T07/32 - LT10716COFA ngày ETD 1/08/2016 Total,,,326.00,"12,964.40",,,,,,,,,,,,
,XBH011608/023,,8/29/16 0:00,Xuất bán T08/23 - LT13016COFA ngày ETD 29/08/2016,LTCCER1F263SCK2,Cerdena Armchair_F263,76.00,"1,744.20",,,,,,,,,,,,
,,,,,LTCCER3F263SK1,Cerdena 3 Seater_F263,38.00,"5,247.80",,,,,,,,,,,,
,,,,,LTTCER1F263SK1,Cerdena Coffee Table_F263,38.00,"1,744.20",,,,,,,,,,,,
,,,,Xuất bán T08/23 - LT13016COFA ngày ETD 29/08/2016 Total,,,152.00,"8,736.20",,,,,,,,,,,,
,XBH011608/024,,8/29/16 0:00,Xuất bán T08/24 - LT13016COFA ngày ETD 29/08/2016,LTSSAN1H085S1WI,SanDiego 1 Seater_H085_DAN,48.00,"4,176.00",,,,,,,,,,,,
,,,,,LTSSAN3H085SCA1,SanDiego 3 Seater_H085,24.00,"4,080.00",,,,,,,,,,,,
,,,,,LTTSAN1H085SC1,SanDiego Small Coffee Table_H085,24.00,"1,147.92",,,,,,,,,,,,
,,,,Xuất bán T08/24 - LT13016COFA ngày ETD 29/08/2016 Total,,,96.00,"9,403.92",,,,,,,,,,,,
,XBH011609/001,,9/5/16 0:00,Xuất bán T09/01- LT14316COFA ngày ETD 5/9/2016,LTCTAH1F009SKA1,Tahiti Arm Chair_F009,56.00,"1,885.13",,,,,,,,,,,,
,,,,,LTSTAH3F009SKA1,Tahiti Sofa 3 Seater_F009,28.00,"5,655.38",,,,,,,,,,,,
,,,,,LTTTAHCF009SKA1,Tahiti Coffe Table_F009,28.00,"1,885.13",,,,,,,,,,,,
,,,,Xuất bán T09/01- LT14316COFA ngày ETD 5/9/2016 Total,,,112.00,"9,425.64",,,,,,,,,,,,
,XBH011609/002,,9/5/16 0:00,Xuất bán T09/02- LT14316COFA ngày ETD 5/9/2016,LTCTAH1F009SKA1,Tahiti Arm Chair_F009,56.00,"1,885.13",,,,,,,,,,,,
,,,,,LTSTAH3F009SKA1,Tahiti Sofa 3 Seater_F009,28.00,"5,655.38",,,,,,,,,,,,
,,,,,LTTTAHCF009SKA1,Tahiti Coffe Table_F009,28.00,"1,885.13",,,,,,,,,,,,
,,,,Xuất bán T09/02- LT14316COFA ngày ETD 5/9/2016 Total,,,112.00,"9,425.64",,,,,,,,,,,,
,XBH011609/003,,9/5/16 0:00,Xuất bán T09/03- LT13116COFA ngày ETD 5/9/2016,LTCCER1F263SCK2,Cerdena Armchair_F263,76.00,"1,747.24",,,,,,,,,,,,
,,,,,LTCCER3F263SK1,Cerdena 3 Seater_F263,38.00,"5,241.72",,,,,,,,,,,,
,,,,,LTTCER1F263SK1,Cerdena Coffee Table_F263,38.00,"1,747.24",,,,,,,,,,,,
