Mã KH,Số Phiếu Xuất,,Ngày Ghi Sổ,Diễn Giải,Mã Sản Phẩm,Tên Sản Phẩm,Số Lượng,Thành Tiền,,,,,,,,,,,,
,XBH011612/020,,12/8/16 0:00,"Xuất bán T12/020 - HAINNENN-BADNENNDORF - LSX 42 (PI:LT14216LC,LT14616LC,LT15316LC)",LTCDIA1F268SCA1,Diana Chair_F268,26.00,751.40,,,,,,,,,,,,
,,,,,LTCDIA1F268SCK2,Diana Position Chair_F268,120.00,"4,920.00",,,,,,,,,,,,
,,,,,LTCGEN1F268SP1,Genova Chair_F268,32.00,710.40,,,,,,,,,,,,
,,,,,LTCJAPLF268SC1,Japan Sofa Left_F268,3.00,122.25,,,,,,,,,,,,
,,,,,LTCJAPMF268SC1,Japan Sofa Middle_F268,3.00,122.25,,,,,,,,,,,,
,,,,,LTCJAPRF268SC1,Japan Sofa Right_F268,3.00,122.25,,,,,,,,,,,,
,,,,,LTCPRI1F268SPA1,Prisca Chair_F268,60.00,966.00,,,,,,,,,,,,
,,,,,LTSDIA1F268SC1,Diana Footres_F268,11.00,170.50,,,,,,,,,,,,
,,,,,LTTJAP1F268SC1,Japan Sofa Table_F268,3.00,122.25,,,,,,,,,,,,
,,,,,LTTSQU1F268SC1,Square Table_F268,16.00,768.00,,,,,,,,,,,,
,,,,,LTTREC1F268SC1,Rect Table_F268,11.00,814.00,,,,,,,,,,,,
,,,,"Xuất bán T12/020 - HAINNENN-BADNENNDORF - LSX 42 (PI:LT14216LC,LT14616LC,LT15316LC) Total",,,288.00,"9,589.30",,,,,,,,,,,,
,XBH011612/028,,12/10/16 0:00,"Xuất bán T12/028 - BUHFUL-FULDA -LSX 42(PI: LT14216LC, LT14616LC, LT15316LC)",LTCFOL1F310SAC1,Folding Chair_F310,11.00,242.00,,,,,,,,,,,,
,,,,,LTCJAPLF268SC1,Japan Sofa Left_F268,12.00,489.00,,,,,,,,,,,,
,,,,,LTCJAPMF268SC1,Japan Sofa Middle_F268,12.00,489.00,,,,,,,,,,,,
,,,,,LTCJAPRF268SC1,Japan Sofa Right_F268,12.00,489.00,,,,,,,,,,,,
,,,,,LTCMOJ1F268SP1,Mojo Chair_F268,22.00,352.00,,,,,,,,,,,,
,,,,,LTCPRI1F268SPA1,Prisca Chair_F268,90.00,"1,449.00",,,,,,,,,,,,
,,,,,LTCVIS1F268SP1,Visby chair F268,84.00,"1,033.20",,,,,,,,,,,,
,,,,,LTCVIS1F310SP1,Visby chair F310,84.00,999.60,,,,,,,,,,,,
,,,,,LTTFOL1F268ST1,Folding Table_F268,11.00,253.00,,,,,,,,,,,,
,,,,,LTTJAP1F268SC1,Japan Sofa Table_F268,12.00,489.00,,,,,,,,,,,,
,,,,"Xuất bán T12/028 - BUHFUL-FULDA -LSX 42(PI: LT14216LC, LT14616LC, LT15316LC) Total",,,350.00,"6,284.80",,,,,,,,,,,,
,XBH011612/029,,12/10/16 0:00,"Xuất bán T12/029 - BUHWOL WOLFSBURG  -LSX 42(PI: LT14216LC, LT14616LC, LT15316LC)",LTCFOL1F310SAC1,Folding Chair_F310,15.00,330.00,,,,,,,,,,,,
,,,,,LTCJAPLF268SC1,Japan Sofa Left_F268,12.00,489.00,,,,,,,,,,,,
,,,,,LTCJAPMF268SC1,Japan Sofa Middle_F268,12.00,489.00,,,,,,,,,,,,
,,,,,LTCJAPRF268SC1,Japan Sofa Right_F268,12.00,489.00,,,,,,,,,,,,
,,,,,LTCPRI1F268SPA1,Prisca Chair_F268,90.00,"1,449.00",,,,,,,,,,,,
,,,,,LTCVIS1F229SP1,Visby chair F229,84.00,"1,033.20",,,,,,,,,,,,
,,,,,LTCVIS1F310SP1,Visby chair F310,84.00,999.60,,,,,,,,,,,,
,,,,,LTTFOL1F268ST1,Folding Table_F268,15.00,345.00,,,,,,,,,,,,
,,,,,LTTJAP1F268SC1,Japan Sofa Table_F268,12.00,489.00,,,,,,,,,,,,
,,,,"Xuất bán T12/029 - BUHWOL WOLFSBURG  -LSX 42(PI: LT14216LC, LT14616LC, LT15316LC) Total",,,336.00,"6,112.80",,,,,,,,,,,,
,XBH011612/030,,12/10/16 0:00,"Xuất bán T12/030 - BUHWOL WOLFSBURG  -LSX 42(PI: LT14216LC, LT14616LC, LT15316LC)",LTCDIA1F268SCA1,Diana Chair_F268,40.00,"1,156.00",,,,,,,,,,,,
,,,,,LTCDIA1F268SCK2,Diana Position Chair_F268,70.00,"2,870.00",,,,,,,,,,,,
,,,,,LTCGEN1F268SP1,Genova Chair_F268,80.00,"1,776.00",,,,,,,,,,,,
,,,,,LTCMOJ1F310SP1,Mojo Chair_F310,60.00,960.00,,,,,,,,,,,,
,,,,,LTCPRI1F268SPA1,Prisca Chair_F268,216.00,"3,477.60",,,,,,,,,,,,
,,,,,LTCVIS1F268SP1,Visby chair F268,136.00,"1,672.80",,,,,,,,,,,,
,,,,,LTTREC1F268SC1,Rect Table_F268,30.00,"2,220.00",,,,,,,,,,,,
,,,,"Xuất bán T12/030 - BUHWOL WOLFSBURG  -LSX 42(PI: LT14216LC, LT14616LC, LT15316LC) Total",,,632.00,"14,132.40",,,,,,,,,,,,
,XBH011612/037,,12/10/16 0:00,Xuất bán T12/037 -SCHIHAIG-HAIGERLOCH - LSX 42,LTBDIA1F268SCA1,Diana Lounger_F268,7.00,560.00,,,,,,,,,,,,
,,,,,LTCDIA1F268SCA1,Diana Chair_F268,68.00,"1,965.20",,,,,,,,,,,,
,,,,,LTCDIA1F268SCK2,Diana Position Chair_F268,32.00,"1,312.00",,,,,,,,,,,,
,,,,,LTCGEN1F268SP1,Genova Chair_F268,70.00,"1,554.00",,,,,,,,,,,,
,,,,,LTCPRI1F268SPA1,Prisca Chair_F268,144.00,"2,318.40",,,,,,,,,,,,
,,,,,LTCVIS1F268SP1,Visby chair F268,34.00,418.20,,,,,,,,,,,,
