41;LTCBOR1H274SK2;Polden Chair(New Bork Chair)_H274;Xuất bán T05/40- LTINV8933 ngày ETD 23/05/2016;19.9
42;LTCBOR1S1FPPL;Pallet_Bork Chair_FE_KXS;Xuất duyệt mẫu đối chứng theo phiếu yêu cầu xuất xưởng ngày 29/8/2016;0.0
43;LTCCAV1A1FP;Cavallino Chair_AL_KXS; Xuất mẫu đi test theo phiếu yêu cầu xuất xưởng ngày 22/11/2016- Khách hàng chịu tiền test mục 2+3;0.0
44;LTCCAV1A1FPPL;Pallet_Cavallino_AL_KXS;Xuất duyệt mẫu đối chứng theo phiếu yêu cầu xuất xưởng ngày 29/8/2016;0.0
45;LTCCAV1F310AP1;Cavallino Chair_AL_F310;Xuất T02/05 -4511045685/160 - lsx 48;14.0
46;LTCCAV1F314SPA1;Cavallino Chair_F314;Xuất bán T04/129 -451189751-010 - LSX 05;14.0
47;LTCCER1F263SCK2;Cerdena Armchair_F263;Xuất bán T03/117 -LT2917CLFA - LSX 84;38.5
48;LTCCER1F264SCA1;Cerdena Dining Chair_F264;Xuất bán T03/31 - LT1817CLFA LSX 79;18.63
49;LTCCER3F263SK1;Cerdena 3 Seater_F263;Xuất bán T03/117 -LT2917CLFA - LSX 84;76.0
50;LTCCOLOTA03SCA2;Colombia Set_Ghế Đơn_H87;Xuất bán T01/069 - LTINV58143146-2 - LSX 55;67.5
51;LTCCOLOTA03SCA3;Colombia Set_Ghế Ba_H87;Xuất bán T01/069 - LTINV58143146-2 - LSX 55;150.0
52;LTCCORCF268AK1;Corner Sofa Set_Corner_F268;Xuất bán T01/023-JETTENBURG - LSX 42;69.4
53;LTCCORCF274AK1;Corner sofa set_H274;Xuất mẫu cho khách hàng mượn đến ngày 5/6/2016 trả mẫu theo phiếu yêu cầu xuất xưởng đã được duyệt ngày 25/05/2016;0.0
54;LTCCORLF268AK1;Corner sofa set(158085 left)_F268;Xuất bán T01/023-JETTENBURG - LSX 42;69.4
55;LTCCORMF268AK1;Corner sofa set(158085  Middle)_F268;Xuất bán T01/023-JETTENBURG - LSX 42;34.7
56;LTCCORRF268AK1;Corner sofa set_ Right_F268;Xuất bán T01/023-JETTENBURG - LSX 42;69.4
57;LTCCUI1F310SCA1;Armchair Cuise Set_Ghế Đơn_F310;Xuất bán T10/028 - LT14416DHTG- LSX 51;19.0
58;LTCCUI1F310SCA2;Cuise Set_Ghế Đôi_F310;Xuất bán T10/028 - LT14416DHTG- LSX 51;40.0
59;LTCDAN1F338SPA1;Daniel Chair_F338;Xuất bán T01/126 - LTINV26553 - LSX 70;12.5
60;LTCDAN1F339SPA1;Daniel Chair_F339;Xuất bán T01/126 - LTINV26553 - LSX 70;11.0
61;LTCDAN1F400SPA1;Daniel Chair_F400;Xuất bán T01/126 - LTINV26553 - LSX 70;11.0
62;LTCDIA1F268SCA1;Diana Chair_F268;Xuất bán T01/092  - KNAPREM91X3K - LSX 42;28.900000000000002
63;LTCDIA1F268SCK2;Diana Position Chair_F268;Xuất bán T01/022-SPIGROB-GROBWALLSTADT - LSX 42;41.0
64;LTCDYV1F401SAC1;DYVIG ARM CHAIR_F401;Xuất bán T10/028 - LT14416DHTG- LSX 51;27.0
65;LTCERO1H275ACA1;Erope Chair_H275;Xuất bán T01/080 - LT18016COFA-  LSX 68;47.5
66;LTCEUR1F275AK1;Europe Rocking Chair_F275;Xuất bán T05/32-LT8016COFA-2  ngày ETD 18/5/2016;47.5
67;LTCFLOL3F243AK2;Florida sofa 3 seater_left chair_F243;Xuất T02/056-265- LSX 19;70.0
68;LTCFLOR3F243AK2;Florida sofa 3 seater_right chair_F243;Xuất T02/056-265- LSX 19;70.0
69;LTCFOL1F310SAC1;Folding Chair_F310;Xuất bán T10/028 - LT14416DHTG- LSX 51;14.950000000000001
70;LTCGAR1H374SK1;Gartengarnitur Chair_H374;Xuất bán T09/17 - 00IRC -LSX2016/ 36;31.669999999999998
71;LTCGEN1F268SP1;Genova Chair_F268;Xuất T02/053-LACASAWAREHOUSE 4 (148058, 155560, 158090, 158103)- LSX 42;22.2
72;LTCGUD1F114SP1;Gudhjem Chair_F114;Xuất T02/053-LACASAWAREHOUSE 4 (148058, 155560, 158090, 158103)- LSX 42;11.9
73;LTCGUD1F210SPA1;Gudhjem Chair_F210;Xuất bán T01/005 -250218;10.49
74;LTCGUD1F310SPA1;Gudhjem Chair_F310;Xuất T02/08 - LTINV2776 -  LSX 65 ;11.1
75;LTCGUD1F332SPA1;Gudhjem Chair_F332;Xuất bán T04/037 - 19082016GC - LSX 80;12.0
76;LTCGUD1F333SP1;Gudhjem Chair_F333;Xuất hàng+mẫu cho khách hàng , khách hàng chịu tiền test, ngày ETD 5/6/2016;11.5
77;LTCGUD1F343APAP1;Gudhjem Chair_F343;Xuất bán T01/087 - LTINV58143147 - LSX 55;18.75
78;LTCGUD1F404SP1;Gudhjem Chair_F404;Xuất bán T05/10- LTINV1280 ngày ETD 9/5/2016;12.15
79;LTCIDS1F310S1WI01;Idskov Lounge Set_Armchair_F310_DAN;Xuất bán T03/096 - LTINV3841 - LSX 52;10.6
